group,model,n,mean_prob,median_prob,mean_rank,median_rank,pct_rank1,pct_rank_le_5,pct_rank_le_10,pct_prob_low,pct_prob_mid,pct_prob_high,mean_entropy,mean_time_s
__overall__,Qwen/Qwen3.5-2B-Base,434,0.19,0.01,396.03,9.0,25.58,43.78,53.23,59.91,31.34,8.76,4.03,0.13
__overall__,Qwen/Qwen3.5-35B-A3B,434,0.26,0.07,182.15,3.0,34.79,60.83,67.97,46.31,44.47,9.22,3.22,0.32
__overall__,Qwen/Qwen3.5-9B-Base,434,0.25,0.04,227.31,4.0,33.64,56.68,66.36,51.84,38.02,10.14,3.58,0.18
__overall__,allenai/Olmo-Hybrid-7B,434,0.27,0.09,301.03,2.0,41.94,58.06,64.75,45.85,45.85,8.29,4.3,0.18
