profile,layer_position,layer_index,head_index,auc,null_mean,null_q95,p_value_perm_ge
edges_narrow_bal_0.55,1,7,11,0.7918483355902443,0.5266963289236769,0.5658353298314013,0.0
constant_2.6,4,19,4,0.7807574054998907,0.5128211911227644,0.5296075631301308,0.0
edges_narrow_bal_0.55,4,19,6,0.7727117155994703,0.5316459576494397,0.5783626731745063,0.0
edges_narrow_bal_0.55,7,31,6,0.7724289817115818,0.531160548206128,0.5807130846267168,0.0
edges_narrow_bal_0.55,3,15,4,0.7696165235636374,0.5278486927277867,0.5674506331751016,0.0
edges_narrow_bal_0.55,0,3,9,0.7549590035862561,0.5283192214401571,0.5771677504799035,0.0
edges_narrow_bal_0.55,0,3,4,0.7522804720167855,0.5267829347777563,0.5620496718798828,0.0
edges_narrow_bal_0.55,7,31,10,0.7499739587208524,0.5287525483251738,0.5730807577268194,0.0
edges_narrow_bal_0.55,1,7,9,0.7498846743352034,0.5261811580184819,0.5530259966369548,0.0
edges_narrow_bal_0.55,7,31,5,0.7436794095325964,0.5338619961012485,0.5677794973289088,0.0
edges_narrow_bal_0.55,2,11,9,0.7436794095325963,0.5341057424740702,0.5719691671254892,0.0
edges_narrow_bal_0.55,0,3,5,0.7428014464070475,0.5276501837770271,0.5716812249817711,0.0
edges_narrow_bal_0.55,0,3,6,0.7427716849451645,0.5295968809987945,0.5744125831460841,0.0
edges_narrow_bal_0.55,7,31,8,0.7416258686626688,0.5299980655049775,0.5733664677608964,0.0
edges_narrow_bal_0.55,0,3,12,0.7409264743084181,0.5224350828112676,0.5669171589708486,0.0
edges_narrow_bal_0.55,7,31,11,0.7396764929093317,0.5260243151143587,0.5837055996190533,0.0
constant_2.6,5,23,14,0.7393287448887225,0.5149568467709211,0.5369207869026438,0.0
edges_narrow_bal_0.55,0,3,8,0.7392747131739111,0.5320879153584024,0.5768686477879793,0.0
edges_narrow_bal_0.55,0,3,7,0.7389919792860226,0.526263299653279,0.5762332405767772,0.0
