proxy,raw_rho,raw_p,pc1_resid_rho,pc1_resid_p,partial_rho,partial_p,n
target_prob,-0.13877822288090988,5.20594976355597e-06,-0.13877822288090988,5.20594976355597e-06,-0.20125469664536302,3.0609537887883936e-11,1070
target_rank,0.15297436928283276,4.964169016200929e-07,0.15297436928283276,4.964169016200929e-07,-0.05364663215406535,0.07942378767191137,1070
final_entropy_bits,-0.13157806769928276,1.576027024131816e-05,-0.13157806769928276,1.576027024131816e-05,-0.014933978627164215,0.625578582216634,1070
mean_entropy_bits,-0.45061823965486647,1.242742557567904e-54,-0.45061823965486647,1.242742557567904e-54,-0.30694034938053105,8.887263705343071e-25,1070
